"name","email","rollNo","schoolName","class","password"
"student54","student54@gmail.com","54","Delhi Public School","5","cf4GuxMy"
"student55","student55@gmail.com","55","Delhi Public School","5","fcjfOmgX"
"student56","student56@gmail.com","56","Delhi public school","5","aIKxQWNd"
"student57","student57@gmail.com","57","Delhi Public School","5","r2boAyYS"
"student58","student58@gmail.com","58","Delhi public school","5","jXcMUs5O"
"student59","student59@gmail.com","59","Delhi public school","5","M4AKHlbs"
"student60","student60@gmail.com","60","Delhi Public School","5","b7ONljsr"
"student61","student61@gmail.com","61","Delhi Public School","5","TC3omUDI"
"student62","student62@gmail.com","62","Delhi Public School","5","WFRTXwxO"
"student63","student63@gmail.com","63","Delhi public school","5","JuRUT1p0"
"student64","student64@gmail.com","64","Delhi Public School","5","0xWUS7KZ"
"student65","student65@gmail.com","65","Delhi public school","5","8UpyEhW9"
"student66","student66@gmail.com","66","Delhi Public School","5","MCJuNPQY"
"student67","student67@gmail.com","67","Delhi public school","5","CgC6St2l"
"student68","student68@gmail.com","68","Delhi public school","5","MjIeF0jH"
"student69","student69@gmail.com","69","Delhi public school","5","ce1sj7Nt"
"student70","student70@gmail.com","70","Delhi public school","5","Po5Ba1AG"
"student71","student71@gmail.com","71","Delhi public school","5","PUVFUmFR"
"student72","student72@gmail.com","72","Delhi public school","5","XBNPijtO"
"student73","student73@gmail.com","73","Delhi Public School","5","BPO7eJd3"
"student74","student74@gmail.com","74","Delhi Public School","5","8u8IbUKU"
"student75","student75@gmail.com","75","Delhi Public School","5","1jYfwbUC"
"student76","student76@gmail.com","76","Delhi public school","5","CPmNbDbQ"
"student77","student77@gmail.com","77","Delhi public school","5","Ohn4RtK2"
"student78","student78@gmail.com","78","Delhi Public School","5","5qizw2DG"
"student79","student79@gmail.com","79","Delhi Public School","5","NmrUqYx2"
"student80","student80@gmail.com","80","Delhi Public School","5","iqyEYDzH"
"student81","student81@gmail.com","81","Delhi Public School","5","DzPgd7Mf"
"student82","student82@gmail.com","82","Delhi public school","5","Z0op2XfN"
"student83","student83@gmail.com","83","Delhi Public School","5","lFwpWC9y"
"student84","student84@gmail.com","84","Delhi public school","5","Sf4hhbVd"
"student85","student85@gmail.com","85","Delhi public school","5","itEnccwl"
"student86","student86@gmail.com","86","Delhi Public School","5","qMPArKPG"
"student87","student87@gmail.com","87","Delhi public school","5","dyoe3c0A"
"student88","student88@gmail.com","88","Delhi public school","5","rej6Ws7n"
"student89","student89@gmail.com","89","Delhi public school","5","6UFTWtAy"
"student90","student90@gmail.com","90","Delhi Public School","5","McflkLLM"
"student91","student91@gmail.com","91","Delhi Public School","5","XrdcVaYp"
"student92","student92@gmail.com","92","Delhi public school","5","oQyU2lRO"
"student93","student93@gmail.com","93","Delhi Public School","5","h5dycpVS"
"student94","student94@gmail.com","94","Delhi Public School","5","zIj4PyVx"
"student95","student95@gmail.com","95","Delhi Public School","5","kHeditmx"
"student96","student96@gmail.com","96","Delhi Public School","5","Qqy31otR"
"student97","student97@gmail.com","97","Delhi Public School","5","AvKS2Z3p"
"student98","student98@gmail.com","98","Delhi public school","5","3BAO4wSY"
"student99","student99@gmail.com","99","Delhi Public School","5","1gnlP5RA"
"student100","student100@gmail.com","100","Delhi public school","5","qJQuhjMo"
