"name","email","rollNo","schoolName","class","olympiadExam","password","userType","feeStatus"
"45student","45student@gmail.com","45","Delhi Public School","5","Science Olympiad","7!kGxfeHCp","student","Unpaid"
"46student","46student@gmail.com","46","Delhi Public School","5","Science Olympiad","jemig5nRV%","student","Paid"
"47student","47student@gmail.com","47","Delhi Public School","5","Science Olympiad","ZCiM#WV#Nu","student","Unpaid"
"48student","48student@gmail.com","48","Delhi Public School","5","Science Olympiad","pQ4qiWv^gp","student","Paid"
"49student","49student@gmail.com","49","Delhi Public School","5","Science Olympiad","4pRj5B^3B5","student","Unpaid"
"50student","50student@gmail.com","50","Delhi Public School","5","Science Olympiad","it8PHCNkDP","student","Paid"
"51student","51student@gmail.com","51","Delhi Public School","5","Science Olympiad","Quf53BQapp","student","Unpaid"
"52student","52student@gmail.com","52","Delhi Public School","5","Science Olympiad","PBYq25EEez","student","Paid"
"53student","53student@gmail.com","53","Delhi Public School","5","Science Olympiad","zhMcHzew5E","student","Unpaid"
"54student","54student@gmail.com","54","Delhi Public School","5","Science Olympiad","*J^M$uTcN#","student","Paid"
"55student","55student@gmail.com","55","Delhi Public School","5","Science Olympiad","Rr68ySc^g4","student","Unpaid"
"56student","56student@gmail.com","56","Delhi Public School","5","Science Olympiad","Ymwpfwazcq","student","Paid"
"57student","57student@gmail.com","57","Delhi Public School","5","Science Olympiad","!mraeADrhZ","student","Unpaid"
"58student","58student@gmail.com","58","Delhi Public School","5","Science Olympiad","3M$i2kpjzV","student","Paid"
"59student","59student@gmail.com","59","Delhi Public School","5","Science Olympiad","gvfBpqzD!K","student","Unpaid"
"60student","60student@gmail.com","60","Delhi Public School","5","Science Olympiad","@6P3GR#2j5","student","Paid"
"61student","61student@gmail.com","61","Delhi Public School","5","Science Olympiad","&MJCsQqnnx","student","Unpaid"
"62student","62student@gmail.com","62","Delhi Public School","5","Science Olympiad","86T9TLPfQr","student","Paid"
"63student","63student@gmail.com","63","Delhi Public School","5","Science Olympiad","WCg$43e*hA","student","Unpaid"
"64student","64student@gmail.com","64","Delhi Public School","5","Science Olympiad","78B4j&Je*!","student","Paid"
"65student","65student@gmail.com","65","Delhi Public School","5","Science Olympiad","m$Dj9*a&ns","student","Unpaid"
"66student","66student@gmail.com","66","Delhi Public School","5","Science Olympiad","&SrV**T*G!","student","Paid"
"67student","67student@gmail.com","67","Delhi Public School","5","Science Olympiad","fi*@#HbceP","student","Unpaid"
"68student","68student@gmail.com","68","Delhi Public School","5","Science Olympiad","znKgDN4rdH","student","Paid"
"69student","69student@gmail.com","69","Delhi Public School","5","Science Olympiad","tzF*Xz#YuH","student","Unpaid"
"70student","70student@gmail.com","70","Delhi Public School","5","Science Olympiad","w5sy&25Pjh","student","Paid"
"71student","71student@gmail.com","71","Delhi Public School","5","Science Olympiad","C7gPLGhn@W","student","Unpaid"
"72student","72student@gmail.com","72","Delhi Public School","5","Science Olympiad","uiCH!s#5aR","student","Paid"
"73student","73student@gmail.com","73","Delhi Public School","5","Science Olympiad","c8NVrXUzb%","student","Unpaid"
"74student","74student@gmail.com","74","Delhi Public School","5","Science Olympiad","Dqe*RsjhzL","student","Paid"
"75student","75student@gmail.com","75","Delhi Public School","5","Science Olympiad","sCEAMTq5i4","student","Unpaid"
"76student","76student@gmail.com","76","Delhi Public School","5","Science Olympiad","xTS#x6PQSy","student","Paid"
"77student","77student@gmail.com","77","Delhi Public School","5","Science Olympiad","6n#H$79ebU","student","Unpaid"
"78student","78student@gmail.com","78","Delhi Public School","5","Science Olympiad","!GVLvA8UdT","student","Paid"
"79student","79student@gmail.com","79","Delhi Public School","5","Science Olympiad","424pvH5N@z","student","Unpaid"
"80student","80student@gmail.com","80","Delhi Public School","5","Science Olympiad","pR!*2wAskn","student","Paid"
"81student","81student@gmail.com","81","Delhi Public School","5","Science Olympiad","AtK^T!*UbY","student","Unpaid"
"82student","82student@gmail.com","82","Delhi Public School","5","Science Olympiad","dHpvAW7Hpm","student","Paid"
"83student","83student@gmail.com","83","Delhi Public School","5","Science Olympiad","G2Mc@7APm3","student","Unpaid"
"84student","84student@gmail.com","84","Delhi Public School","5","Science Olympiad","TtKU39@@CG","student","Paid"
"85student","85student@gmail.com","85","Delhi Public School","5","Science Olympiad","b@4UZa$Eu2","student","Unpaid"
"86student","86student@gmail.com","86","Delhi Public School","5","Science Olympiad","ej!dstqq*g","student","Paid"
"87student","87student@gmail.com","87","Delhi Public School","5","Science Olympiad","9NbZK^h%A9","student","Unpaid"
"88student","88student@gmail.com","88","Delhi Public School","5","Science Olympiad","txr4YDUetb","student","Paid"
"89student","89student@gmail.com","89","Delhi Public School","5","Science Olympiad","Gwgv6NrRAC","student","Unpaid"
"90student","90student@gmail.com","90","Delhi Public School","5","Science Olympiad","pgLr3yFw8E","student","Paid"
"91student","91student@gmail.com","91","Delhi Public School","5","Science Olympiad","K#&YxiK^y#","student","Unpaid"
"92student","92student@gmail.com","92","Delhi Public School","5","Science Olympiad","uqQFh3AKP7","student","Paid"
"93student","93student@gmail.com","93","Delhi Public School","5","Science Olympiad","SzfNt2r$gP","student","Unpaid"
"94student","94student@gmail.com","94","Delhi Public School","5","Science Olympiad","m^D!Grd&j^","student","Paid"
"95student","95student@gmail.com","95","Delhi Public School","5","Science Olympiad","KChimpd2$w","student","Unpaid"
"96student","96student@gmail.com","96","Delhi Public School","5","Science Olympiad","tJscea!s8w","student","Paid"
"97student","97student@gmail.com","97","Delhi Public School","5","Science Olympiad","F%Ri3qbqv^","student","Unpaid"
"98student","98student@gmail.com","98","Delhi Public School","5","Science Olympiad","Fr#pPpv7q4","student","Paid"
"99student","99student@gmail.com","99","Delhi Public School","5","Science Olympiad","LTe^#cK2br","student","Unpaid"
"100student","100student@gmail.com","100","Delhi Public School","5","Science Olympiad","9Z8c4*BLz6","student","Paid"
