"name","email","rollNo","schoolName","class","olympiadExam","feeStatus","rawPassword"
"student8","student8@gmail.com","8","Delhi public school","5","Science olympiad",,
"student9","student9@gmail.com","9","Delhi public school","5","Science Olympiad",,
"student12","student12@gmail.com","12","Delhi public school","5","Science Olympiad",,
"student13","student13@gmail.com","13","Delhi public school","5","Science olympiad",,
"student16","student16@gmail.com","16","Delhi public school","5","Science olympiad",,
"student18","student18@gmail.com","18","Delhi public school","5","Science Olympiad",,
"student19","student19@gmail.com","19","Delhi public school","5","Science Olympiad",,
"student22","student22@gmail.com","22","Delhi public school","5","Science olympiad",,
"student23","student23@gmail.com","23","Delhi public school","5","Science Olympiad",,
"student26","student26@gmail.com","26","Delhi public school","5","Science olympiad",,
"student27","student27@gmail.com","27","Delhi public school","5","Science olympiad",,
"student29","student29@gmail.com","29","Delhi public school","5","Science olympiad",,
"student30","student30@gmail.com","30","Delhi public school","5","Science Olympiad",,
"student34","student34@gmail.com","34","Delhi public school","5","Science olympiad",,
"student37","student37@gmail.com","37","Delhi public school","5","Science Olympiad",,
"student38","student38@gmail.com","38","Delhi public school","5","Science Olympiad",,
"student42","student42@gmail.com","42","Delhi public school","5","Science olympiad",,
"student43","student43@gmail.com","43","Delhi public school","5","Science olympiad",,
"student45","student45@gmail.com","45","Delhi public school","5","Science olympiad",,
"student50","student50@gmail.com","50","Delhi public school","5","Science olympiad",,
"student53","student53@gmail.com","53","Delhi public school","5","Science Olympiad",,
"student56","student56@gmail.com","56","Delhi public school","5","Science olympiad",,
"student58","student58@gmail.com","58","Delhi public school","5","Science Olympiad",,
"student59","student59@gmail.com","59","Delhi public school","5","Science olympiad",,
"student63","student63@gmail.com","63","Delhi public school","5","Science olympiad",,
"student65","student65@gmail.com","65","Delhi public school","5","Science olympiad",,
"student67","student67@gmail.com","67","Delhi public school","5","Science olympiad",,
"student68","student68@gmail.com","68","Delhi public school","5","Science Olympiad",,
"student69","student69@gmail.com","69","Delhi public school","5","Science olympiad",,
"student70","student70@gmail.com","70","Delhi public school","5","Science olympiad",,
"student71","student71@gmail.com","71","Delhi public school","5","Science Olympiad",,
"student72","student72@gmail.com","72","Delhi public school","5","Science Olympiad",,
"student76","student76@gmail.com","76","Delhi public school","5","Science Olympiad",,
"student77","student77@gmail.com","77","Delhi public school","5","Science Olympiad",,
"student82","student82@gmail.com","82","Delhi public school","5","Science Olympiad",,
"student84","student84@gmail.com","84","Delhi public school","5","Science olympiad",,
"student85","student85@gmail.com","85","Delhi public school","5","Science Olympiad",,
"student87","student87@gmail.com","87","Delhi public school","5","Science olympiad",,
"student88","student88@gmail.com","88","Delhi public school","5","Science olympiad",,
"student89","student89@gmail.com","89","Delhi public school","5","Science olympiad",,
"student92","student92@gmail.com","92","Delhi public school","5","Science Olympiad",,
"student98","student98@gmail.com","98","Delhi public school","5","Science Olympiad",,
"student100","student100@gmail.com","100","Delhi public school","5","Science olympiad",,
