"name","email","rollNo","schoolName","class","olympiadExam","feeStatus","rawPassword"
"69student","69student@gmail.com","69","Delhi Public School","5","Science Olympiad","Pending","CuZbeZ3P"
"70student","70student@gmail.com","70","Delhi Public School","5","Science Olympiad","Paid","nUzpt1WR"
"71student","71student@gmail.com","71","Delhi Public School","5","Science Olympiad","Pending","uXMi7EZU"
"72student","72student@gmail.com","72","Delhi Public School","5","Science Olympiad","Paid","KPybbjMV"
"73student","73student@gmail.com","73","Delhi Public School","5","Science Olympiad","Pending","SrD6G3Uu"
"74student","74student@gmail.com","74","Delhi Public School","5","Science Olympiad","Paid","1evVhjB9"
"75student","75student@gmail.com","75","Delhi Public School","5","Science Olympiad","Pending","BUrLJ8tn"
"76student","76student@gmail.com","76","Delhi Public School","5","Science Olympiad","Paid","qVhYV30F"
"77student","77student@gmail.com","77","Delhi Public School","5","Science Olympiad","Pending","9DTd4KwN"
"78student","78student@gmail.com","78","Delhi Public School","5","Science Olympiad","Paid","Hcq4stS8"
"79student","79student@gmail.com","79","Delhi Public School","5","Science Olympiad","Pending","bUr16Ezp"
"80student","80student@gmail.com","80","Delhi Public School","5","Science Olympiad","Paid","2SWvz9u7"
"81student","81student@gmail.com","81","Delhi Public School","5","Science Olympiad","Pending","Q4iPZwER"
"82student","82student@gmail.com","82","Delhi Public School","5","Science Olympiad","Paid","n1Llpeud"
"83student","83student@gmail.com","83","Delhi Public School","5","Science Olympiad","Pending","dwYSVF56"
"84student","84student@gmail.com","84","Delhi Public School","5","Science Olympiad","Paid","p2FDE4ci"
"85student","85student@gmail.com","85","Delhi Public School","5","Science Olympiad","Pending","J2JX2QXP"
"86student","86student@gmail.com","86","Delhi Public School","5","Science Olympiad","Paid","8uGLZAn0"
"87student","87student@gmail.com","87","Delhi Public School","5","Science Olympiad","Pending","eOWEvQys"
"88student","88student@gmail.com","88","Delhi Public School","5","Science Olympiad","Paid","2uWUAgHu"
"89student","89student@gmail.com","89","Delhi Public School","5","Science Olympiad","Pending","oUO6hOqw"
"90student","90student@gmail.com","90","Delhi Public School","5","Science Olympiad","Paid","ojxfP7oM"
"91student","91student@gmail.com","91","Delhi Public School","5","Science Olympiad","Pending","HiUeCzR3"
"92student","92student@gmail.com","92","Delhi Public School","5","Science Olympiad","Paid","QbMLPsgQ"
"93student","93student@gmail.com","93","Delhi Public School","5","Science Olympiad","Pending","Q8Go7iSW"
"94student","94student@gmail.com","94","Delhi Public School","5","Science Olympiad","Paid","WSHv7ZnN"
"95student","95student@gmail.com","95","Delhi Public School","5","Science Olympiad","Pending","4zEkl8mu"
"96student","96student@gmail.com","96","Delhi Public School","5","Science Olympiad","Paid","SW7OPVhq"
"97student","97student@gmail.com","97","Delhi Public School","5","Science Olympiad","Pending","ZSCAXkP1"
"98student","98student@gmail.com","98","Delhi Public School","5","Science Olympiad","Paid","YWaL8Fmc"
"99student","99student@gmail.com","99","Delhi Public School","5","Science Olympiad","Pending","bqs3dQyn"
"100student","100student@gmail.com","100","Delhi Public School","5","Science Olympiad","Paid","GnvmCE6u"
