"name","email","rollNo","schoolName","class","olympiadExam","rawPassword","status","createdAt"
"student75","student75@gmail.com","75","Delhi Public School","5","Science Olympiad","1jYfwbUC","active","2025-05-26T17:47:51.641Z"
"student74","student74@gmail.com","74","Delhi Public School","5","Science Olympiad","8u8IbUKU","active","2025-05-26T17:47:51.641Z"
"student73","student73@gmail.com","73","Delhi Public School","5","Science Olympiad","BPO7eJd3","active","2025-05-26T17:47:51.641Z"
"student72","student72@gmail.com","72","Delhi public school","5","Science Olympiad","XBNPijtO","active","2025-05-26T17:47:51.641Z"
"student71","student71@gmail.com","71","Delhi public school","5","Science Olympiad","PUVFUmFR","active","2025-05-26T17:47:51.641Z"
"student70","student70@gmail.com","70","Delhi public school","5","Science olympiad","Po5Ba1AG","active","2025-05-26T17:47:51.640Z"
"student69","student69@gmail.com","69","Delhi public school","5","Science olympiad","ce1sj7Nt","active","2025-05-26T17:47:51.640Z"
"student68","student68@gmail.com","68","Delhi public school","5","Science Olympiad","MjIeF0jH","active","2025-05-26T17:47:51.640Z"
"student67","student67@gmail.com","67","Delhi public school","5","Science olympiad","CgC6St2l","active","2025-05-26T17:47:51.640Z"
"student63","student63@gmail.com","63","Delhi public school","5","Science olympiad","JuRUT1p0","active","2025-05-26T17:47:51.639Z"
"student66","student66@gmail.com","66","Delhi Public School","5","Science Olympiad","MCJuNPQY","active","2025-05-26T17:47:51.639Z"
"student65","student65@gmail.com","65","Delhi public school","5","Science olympiad","8UpyEhW9","active","2025-05-26T17:47:51.639Z"
"student64","student64@gmail.com","64","Delhi Public School","5","Science Olympiad","0xWUS7KZ","active","2025-05-26T17:47:51.639Z"
"student62","student62@gmail.com","62","Delhi Public School","5","Science olympiad","WFRTXwxO","active","2025-05-26T17:47:51.639Z"
"student61","student61@gmail.com","61","Delhi Public School","5","Science olympiad","TC3omUDI","active","2025-05-26T17:47:51.639Z"
"student58","student58@gmail.com","58","Delhi public school","5","Science Olympiad","jXcMUs5O","active","2025-05-26T17:47:51.638Z"
"student57","student57@gmail.com","57","Delhi Public School","5","Science Olympiad","r2boAyYS","active","2025-05-26T17:47:51.638Z"
"student56","student56@gmail.com","56","Delhi public school","5","Science olympiad","aIKxQWNd","active","2025-05-26T17:47:51.638Z"
"student59","student59@gmail.com","59","Delhi public school","5","Science olympiad","M4AKHlbs","active","2025-05-26T17:47:51.638Z"
"student60","student60@gmail.com","60","Delhi Public School","5","Science olympiad","b7ONljsr","active","2025-05-26T17:47:51.638Z"
"student52","student52@gmail.com","52","Delhi Public School","5","Science olympiad","nXh6oIKi","active","2025-05-26T17:47:51.637Z"
"student53","student53@gmail.com","53","Delhi public school","5","Science Olympiad","TDyivzP1","active","2025-05-26T17:47:51.637Z"
"student54","student54@gmail.com","54","Delhi Public School","5","Science olympiad","cf4GuxMy","active","2025-05-26T17:47:51.637Z"
"student55","student55@gmail.com","55","Delhi Public School","5","Science Olympiad","fcjfOmgX","active","2025-05-26T17:47:51.637Z"
"student50","student50@gmail.com","50","Delhi public school","5","Science olympiad","25GZnaR5","active","2025-05-26T17:47:51.637Z"
"student51","student51@gmail.com","51","Delhi Public School","5","Science olympiad","FrjTTbai","active","2025-05-26T17:47:51.637Z"
"student47","student47@gmail.com","47","Delhi Public School","5","Science olympiad","jUM7y0By","active","2025-05-26T17:47:51.636Z"
"student49","student49@gmail.com","49","Delhi Public School","5","Science Olympiad","qn98Inrs","active","2025-05-26T17:47:51.636Z"
"student48","student48@gmail.com","48","Delhi Public School","5","Science olympiad","sCiqvU8T","active","2025-05-26T17:47:51.636Z"
"student46","student46@gmail.com","46","Delhi Public School","5","Science olympiad","lOo3vdpe","active","2025-05-26T17:47:51.636Z"
"student45","student45@gmail.com","45","Delhi public school","5","Science olympiad","Bhpyz3Ru","active","2025-05-26T17:47:51.636Z"
"student44","student44@gmail.com","44","Delhi Public School","5","Science olympiad","rX04TAtf","active","2025-05-26T17:47:51.636Z"
"student42","student42@gmail.com","42","Delhi public school","5","Science olympiad","tSfWhJE2","active","2025-05-26T17:47:51.635Z"
"student43","student43@gmail.com","43","Delhi public school","5","Science olympiad","fMhzEyDq","active","2025-05-26T17:47:51.635Z"
"student39","student39@gmail.com","39","Delhi Public School","5","Science Olympiad","UBjhfxGi","active","2025-05-26T17:47:51.635Z"
"student41","student41@gmail.com","41","Delhi Public School","5","Science Olympiad","C2zEqsdz","active","2025-05-26T17:47:51.635Z"
"student40","student40@gmail.com","40","Delhi Public School","5","Science olympiad","0mEb9yuf","active","2025-05-26T17:47:51.635Z"
"student38","student38@gmail.com","38","Delhi public school","5","Science Olympiad","EwUYpVhk","active","2025-05-26T17:47:51.635Z"
"student36","student36@gmail.com","36","Delhi Public School","5","Science olympiad","621lruJt","active","2025-05-26T17:47:51.634Z"
"student35","student35@gmail.com","35","Delhi Public School","5","Science olympiad","ARLF36MP","active","2025-05-26T17:47:51.634Z"
"student34","student34@gmail.com","34","Delhi public school","5","Science olympiad","58dwZdrc","active","2025-05-26T17:47:51.634Z"
"student33","student33@gmail.com","33","Delhi Public School","5","Science Olympiad","IesXHKJO","active","2025-05-26T17:47:51.634Z"
"student37","student37@gmail.com","37","Delhi public school","5","Science Olympiad","FRE7wKn2","active","2025-05-26T17:47:51.634Z"
"student32","student32@gmail.com","32","Delhi Public School","5","Science Olympiad","JxLaGUP5","active","2025-05-26T17:47:51.633Z"
"student31","student31@gmail.com","31","Delhi Public School","5","Science olympiad","QPFDragL","active","2025-05-26T17:47:51.633Z"
"student30","student30@gmail.com","30","Delhi public school","5","Science Olympiad","kjWRam47","active","2025-05-26T17:47:51.633Z"
"student29","student29@gmail.com","29","Delhi public school","5","Science olympiad","A84BB4DY","active","2025-05-26T17:47:51.633Z"
"student25","student25@gmail.com","25","Delhi Public School","5","Science olympiad","do9TJIU9","active","2025-05-26T17:47:51.631Z"
"student28","student28@gmail.com","28","Delhi Public School","5","Science Olympiad","f02Rdujm","active","2025-05-26T17:47:51.631Z"
"student27","student27@gmail.com","27","Delhi public school","5","Science olympiad","SFRHfvsu","active","2025-05-26T17:47:51.631Z"
"student26","student26@gmail.com","26","Delhi public school","5","Science olympiad","shglB6WJ","active","2025-05-26T17:47:51.631Z"
"student24","student24@gmail.com","24","Delhi Public School","5","Science olympiad","ssPgazZ2","active","2025-05-26T17:47:51.631Z"
"student23","student23@gmail.com","23","Delhi public school","5","Science Olympiad","OMY2GPlE","active","2025-05-26T17:47:51.630Z"
"student22","student22@gmail.com","22","Delhi public school","5","Science olympiad","UCGInzJ2","active","2025-05-26T17:47:51.630Z"
"student21","student21@gmail.com","21","Delhi Public School","5","Science Olympiad","H4x8k4o2","active","2025-05-26T17:47:51.630Z"
"student20","student20@gmail.com","20","Delhi Public School","5","Science olympiad","RRigWZq5","active","2025-05-26T17:47:51.630Z"
"student19","student19@gmail.com","19","Delhi public school","5","Science Olympiad","X1kP7E5e","active","2025-05-26T17:47:51.630Z"
"student18","student18@gmail.com","18","Delhi public school","5","Science Olympiad","G8y94Nj4","active","2025-05-26T17:47:51.629Z"
"student17","student17@gmail.com","17","Delhi Public School","5","Science Olympiad","4Kw7VDWy","active","2025-05-26T17:47:51.629Z"
"student16","student16@gmail.com","16","Delhi public school","5","Science olympiad","z5dsQVgl","active","2025-05-26T17:47:51.629Z"
"student15","student15@gmail.com","15","Delhi Public School","5","Science Olympiad","ujtkVDCv","active","2025-05-26T17:47:51.629Z"
"student14","student14@gmail.com","14","Delhi Public School","5","Science olympiad","baPKmW36","active","2025-05-26T17:47:51.629Z"
"student13","student13@gmail.com","13","Delhi public school","5","Science olympiad","CkzI8jQk","active","2025-05-26T17:47:51.628Z"
"student12","student12@gmail.com","12","Delhi public school","5","Science Olympiad","Xjej3ypn","active","2025-05-26T17:47:51.628Z"
"student11","student11@gmail.com","11","Delhi Public School","5","Science Olympiad","GqvXCzEY","active","2025-05-26T17:47:51.628Z"
"student10","student10@gmail.com","10","Delhi Public School","5","Science olympiad","BwygXLKJ","active","2025-05-26T17:47:51.628Z"
"student9","student9@gmail.com","9","Delhi public school","5","Science Olympiad","w9bbuAiP","active","2025-05-26T17:47:51.627Z"
"student8","student8@gmail.com","8","Delhi public school","5","Science olympiad","eHHyVSBm","active","2025-05-26T17:47:51.627Z"
"student7","student7@gmail.com","7","Delhi public school","5","Science olympiad","OgrmqOAM","active","2025-05-26T17:47:51.627Z"
"student2","student2@gmail.com","2","Delhi public school","5","Science olympiad","5mzjAtqy","active","2025-05-26T17:47:51.626Z"
"student3","student3@gmail.com","3","Delhi Public School","5","Science olympiad","Zrhp5SqU","active","2025-05-26T17:47:51.626Z"
"student4","student4@gmail.com","4","Delhi public school","5","Science Olympiad","VUlqjwKf","active","2025-05-26T17:47:51.626Z"
"student6","student6@gmail.com","6","Delhi public school","5","Science Olympiad","ch7GWiBs","active","2025-05-26T17:47:51.626Z"
"student5","student5@gmail.com","5","Delhi public school","5","Science olympiad","bHvTkTL6","active","2025-05-26T17:47:51.626Z"
"student1","student1@gmail.com","1","Delhi Public School","5","Science olympiad","3oSylbIr","active","2025-05-26T17:47:51.625Z"
