"name","email","rollNo","schoolName","class","olympiadExam","feeStatus","rawPassword"
"48student","48student@gmail.com","48","Delhi Public School","5","Science Olympiad","Paid","ujZTLrRc"
"49student","49student@gmail.com","49","Delhi Public School","5","Science Olympiad","Pending","rPbqi3F6"
"50student","50student@gmail.com","50","Delhi Public School","5","Science Olympiad","Paid","9UuQwJND"
"51student","51student@gmail.com","51","Delhi Public School","5","Science Olympiad","Pending","8qEyINK6"
"52student","52student@gmail.com","52","Delhi Public School","5","Science Olympiad","Paid","p8E4mIcs"
"53student","53student@gmail.com","53","Delhi Public School","5","Science Olympiad","Pending","8MUZp7iZ"
"54student","54student@gmail.com","54","Delhi Public School","5","Science Olympiad","Paid","ForLsMBz"
"55student","55student@gmail.com","55","Delhi Public School","5","Science Olympiad","Pending","GuL1cDSR"
"56student","56student@gmail.com","56","Delhi Public School","5","Science Olympiad","Paid","jlXH0EIL"
"57student","57student@gmail.com","57","Delhi Public School","5","Science Olympiad","Pending","TS5Al7To"
"58student","58student@gmail.com","58","Delhi Public School","5","Science Olympiad","Paid","GvaoTbOf"
"59student","59student@gmail.com","59","Delhi Public School","5","Science Olympiad","Pending","Mu1rHoMG"
"60student","60student@gmail.com","60","Delhi Public School","5","Science Olympiad","Paid","k4aQMyFJ"
"61student","61student@gmail.com","61","Delhi Public School","5","Science Olympiad","Pending","PkptDxWl"
"62student","62student@gmail.com","62","Delhi Public School","5","Science Olympiad","Paid","T86GDAEj"
"63student","63student@gmail.com","63","Delhi Public School","5","Science Olympiad","Pending","X8fSIjo9"
"64student","64student@gmail.com","64","Delhi Public School","5","Science Olympiad","Paid","4UaQwmZn"
"65student","65student@gmail.com","65","Delhi Public School","5","Science Olympiad","Pending","MoGNoh3Z"
"66student","66student@gmail.com","66","Delhi Public School","5","Science Olympiad","Paid","ikE1W7h6"
"67student","67student@gmail.com","67","Delhi Public School","5","Science Olympiad","Pending","iVDHB4Yt"
"68student","68student@gmail.com","68","Delhi Public School","5","Science Olympiad","Paid","yiqAwacz"
"69student","69student@gmail.com","69","Delhi Public School","5","Science Olympiad","Pending","1wPdD3T8"
"70student","70student@gmail.com","70","Delhi Public School","5","Science Olympiad","Paid","uwtr7emN"
"71student","71student@gmail.com","71","Delhi Public School","5","Science Olympiad","Pending","vPMRz3uv"
"72student","72student@gmail.com","72","Delhi Public School","5","Science Olympiad","Paid","tIuK8cX5"
"73student","73student@gmail.com","73","Delhi Public School","5","Science Olympiad","Pending","HanznFw8"
"74student","74student@gmail.com","74","Delhi Public School","5","Science Olympiad","Paid","lXb8dxkT"
"75student","75student@gmail.com","75","Delhi Public School","5","Science Olympiad","Pending","0DGcIjQ9"
"76student","76student@gmail.com","76","Delhi Public School","5","Science Olympiad","Paid","SLaw058n"
"77student","77student@gmail.com","77","Delhi Public School","5","Science Olympiad","Pending","kKFlI9Ne"
"78student","78student@gmail.com","78","Delhi Public School","5","Science Olympiad","Paid","R2jOBaao"
"79student","79student@gmail.com","79","Delhi Public School","5","Science Olympiad","Pending","al7O4SpL"
"80student","80student@gmail.com","80","Delhi Public School","5","Science Olympiad","Paid","qoAfNm1s"
"81student","81student@gmail.com","81","Delhi Public School","5","Science Olympiad","Pending","Dnilvizh"
"82student","82student@gmail.com","82","Delhi Public School","5","Science Olympiad","Paid","zLleoraz"
"83student","83student@gmail.com","83","Delhi Public School","5","Science Olympiad","Pending","r6hCFcpt"
"84student","84student@gmail.com","84","Delhi Public School","5","Science Olympiad","Paid","SiScTEv6"
"85student","85student@gmail.com","85","Delhi Public School","5","Science Olympiad","Pending","CAv31s5F"
"86student","86student@gmail.com","86","Delhi Public School","5","Science Olympiad","Paid","VkcVUGkl"
"87student","87student@gmail.com","87","Delhi Public School","5","Science Olympiad","Pending","dS4T2g8x"
"88student","88student@gmail.com","88","Delhi Public School","5","Science Olympiad","Paid","cIVACg45"
"89student","89student@gmail.com","89","Delhi Public School","5","Science Olympiad","Pending","C9znR5k6"
"90student","90student@gmail.com","90","Delhi Public School","5","Science Olympiad","Paid","h1N0WPul"
"91student","91student@gmail.com","91","Delhi Public School","5","Science Olympiad","Pending","sdAb3J8u"
"92student","92student@gmail.com","92","Delhi Public School","5","Science Olympiad","Paid","cJq1hmF9"
"93student","93student@gmail.com","93","Delhi Public School","5","Science Olympiad","Pending","ffObI5i2"
"94student","94student@gmail.com","94","Delhi Public School","5","Science Olympiad","Paid","dLwZOQ8c"
"95student","95student@gmail.com","95","Delhi Public School","5","Science Olympiad","Pending","tE6HagEF"
"96student","96student@gmail.com","96","Delhi Public School","5","Science Olympiad","Paid","uXZ8gvWv"
"97student","97student@gmail.com","97","Delhi Public School","5","Science Olympiad","Pending","ubz1INFt"
"98student","98student@gmail.com","98","Delhi Public School","5","Science Olympiad","Paid","2dvDYnC4"
"99student","99student@gmail.com","99","Delhi Public School","5","Science Olympiad","Pending","AFx9a3lK"
"100student","100student@gmail.com","100","Delhi Public School","5","Science Olympiad","Paid","mrFcvIDI"
