"name","email","rollNo","schoolName","class","olympiadExam","rawPassword"
"student23","student23@gmail.com","23","Delhi public school","5","Science Olympiad","OMY2GPlE"
"student22","student22@gmail.com","22","Delhi public school","5","Science olympiad","UCGInzJ2"
"student21","student21@gmail.com","21","Delhi Public School","5","Science Olympiad","H4x8k4o2"
"student20","student20@gmail.com","20","Delhi Public School","5","Science olympiad","RRigWZq5"
"student19","student19@gmail.com","19","Delhi public school","5","Science Olympiad","X1kP7E5e"
"student18","student18@gmail.com","18","Delhi public school","5","Science Olympiad","G8y94Nj4"
"student17","student17@gmail.com","17","Delhi Public School","5","Science Olympiad","4Kw7VDWy"
"student16","student16@gmail.com","16","Delhi public school","5","Science olympiad","z5dsQVgl"
"student15","student15@gmail.com","15","Delhi Public School","5","Science Olympiad","ujtkVDCv"
"student14","student14@gmail.com","14","Delhi Public School","5","Science olympiad","baPKmW36"
"student13","student13@gmail.com","13","Delhi public school","5","Science olympiad","CkzI8jQk"
"student12","student12@gmail.com","12","Delhi public school","5","Science Olympiad","Xjej3ypn"
"student11","student11@gmail.com","11","Delhi Public School","5","Science Olympiad","GqvXCzEY"
"student10","student10@gmail.com","10","Delhi Public School","5","Science olympiad","BwygXLKJ"
"student9","student9@gmail.com","9","Delhi public school","5","Science Olympiad","w9bbuAiP"
"student8","student8@gmail.com","8","Delhi public school","5","Science olympiad","eHHyVSBm"
"student7","student7@gmail.com","7","Delhi public school","5","Science olympiad","OgrmqOAM"
"student2","student2@gmail.com","2","Delhi public school","5","Science olympiad","5mzjAtqy"
"student3","student3@gmail.com","3","Delhi Public School","5","Science olympiad","Zrhp5SqU"
"student4","student4@gmail.com","4","Delhi public school","5","Science Olympiad","VUlqjwKf"
"student6","student6@gmail.com","6","Delhi public school","5","Science Olympiad","ch7GWiBs"
"student5","student5@gmail.com","5","Delhi public school","5","Science olympiad","bHvTkTL6"
"student1","student1@gmail.com","1","Delhi Public School","5","Science olympiad","3oSylbIr"
